# widthsADWIN, reconstructionErrorTime, driftDecisions, driftLabels
1,0.340518116951,0,0
2,0.428561538458,0,0
3,0.412227213383,0,0
4,0.433649361134,0,0
5,0.370949596167,0,0
6,0.385408341885,0,0
7,0.369642674923,0,0
8,0.381610572338,0,0
9,0.373757302761,0,0
10,0.446086049080,0,0
11,0.437218636274,0,0
12,0.339059233665,0,0
13,0.339753657579,0,0
14,0.400263369083,0,0
15,0.416121393442,0,0
16,0.375135719776,0,0
17,0.384023278952,0,0
18,0.399358034134,0,0
19,0.380960077047,0,0
20,0.370499223471,0,0
21,0.436220556498,0,0
22,0.415134906769,0,0
23,0.365392416716,0,0
24,0.357567131519,0,0
25,0.414665579796,0,0
26,0.352757930756,0,0
27,0.395649909973,0,0
28,0.385045915842,0,0
29,0.362284779549,0,0
30,0.418027728796,0,0
31,0.380575656891,0,0
32,0.380292981863,0,0
33,0.438880681992,0,0
34,0.397606343031,0,0
35,0.376939654350,0,0
36,0.412714928389,0,0
37,0.401607990265,0,0
38,0.379945665598,0,0
39,0.372330814600,0,0
40,0.396364599466,0,0
41,0.339514493942,0,0
42,0.349847644567,0,0
43,0.406139254570,0,0
44,0.363903552294,0,0
45,0.336909741163,0,0
46,0.423086732626,0,0
47,0.399897754192,0,0
48,0.366979628801,0,0
49,0.434595674276,0,0
50,0.396447330713,0,0
51,0.353219211102,0,0
52,0.420952737331,0,0
53,0.394232422113,0,0
54,0.394224137068,0,0
55,0.369499385357,0,0
56,0.367195487022,0,0
57,0.410209804773,0,0
58,0.435784339905,0,0
59,0.344877749681,0,0
60,0.411113679409,0,0
61,0.357095807791,0,0
62,0.441507697105,0,0
63,0.378438055515,0,0
64,0.425608515739,0,0
65,0.360743314028,0,0
66,0.366057574749,0,0
67,0.346215903759,0,0
68,0.349699467421,0,0
69,0.422994256020,0,0
70,0.372077673674,0,0
71,0.398117244244,0,0
72,0.380815982819,0,0
73,0.469765394926,0,0
74,0.342695057392,0,0
75,0.403296560049,0,0
76,0.436697810888,0,0
77,0.379806816578,0,0
78,0.421484231949,0,0
79,0.405843704939,0,0
80,0.460575759411,0,0
81,0.349559247494,0,0
82,0.364211112261,0,0
83,0.367982059717,0,0
84,0.415274977684,0,0
85,0.420049220324,0,0
86,0.407888561487,0,0
87,0.391739696264,0,0
88,0.380556046963,0,0
89,0.376757621765,0,0
90,0.411653429270,0,0
91,0.415196567774,0,0
92,0.367614448071,0,0
93,0.331375092268,0,0
94,0.357653766870,0,0
95,0.402194947004,0,0
96,0.444797098637,0,0
97,0.390594780445,0,0
98,0.374298453331,0,0
99,0.345442473888,0,0
100,0.410445183516,0,0
101,0.387529671192,0,0
102,0.411750078201,0,0
103,0.382984757423,0,0
104,0.352318644524,0,0
105,0.373285174370,0,0
106,0.384086817503,0,0
107,0.367577105761,0,0
108,0.411473035812,0,0
109,0.375625252724,0,0
110,0.397742420435,0,0
111,0.354759514332,0,0
112,0.407284110785,0,0
113,0.392320156097,0,0
114,0.369596540928,0,0
115,0.362266361713,0,0
116,0.362627774477,0,0
117,0.418444216251,0,0
118,0.401129573584,0,0
119,0.349057435989,0,0
120,0.404388040304,0,0
