# widthsADWIN, reconstructionErrorTime, driftDecisions, driftLabels
1,0.337892204523,0,0
2,0.419505983591,0,0
3,0.417484283447,0,0
4,0.435178399086,0,0
5,0.378229022026,0,0
6,0.392761617899,0,0
7,0.379091888666,0,0
8,0.362451195717,0,0
9,0.374072194099,0,0
10,0.460341095924,0,0
11,0.456411629915,0,0
12,0.334427118301,0,0
13,0.353112310171,0,0
14,0.400148183107,0,0
15,0.410734891891,0,0
16,0.379185378551,0,0
17,0.388684839010,0,0
18,0.393242865801,0,0
19,0.393570333719,0,0
20,0.376023560762,0,0
21,0.425575792789,0,0
22,0.414336532354,0,0
23,0.368016093969,0,0
24,0.373786240816,0,0
25,0.414955317974,0,0
26,0.345449060202,0,0
27,0.397057265043,0,0
28,0.384973466396,0,0
29,0.364855319262,0,0
30,0.421205073595,0,0
31,0.389982610941,0,0
32,0.373949319124,0,0
33,0.437478572130,0,0
34,0.393463850021,0,0
35,0.379194885492,0,0
36,0.426779776812,0,0
37,0.401273846626,0,0
38,0.385621756315,0,0
39,0.367495864630,0,0
40,0.403230786324,0,0
41,0.353625416756,0,0
42,0.357450813055,0,0
43,0.405388176441,0,0
44,0.369552940130,0,0
45,0.334097594023,0,0
46,0.422921270132,0,0
47,0.418388545513,0,0
48,0.371400713921,0,0
49,0.437028259039,0,0
50,0.392667651176,0,0
51,0.357295542955,0,0
52,0.426504164934,0,0
53,0.388960957527,0,0
54,0.395461827517,0,0
55,0.378816545010,0,0
56,0.377555251122,0,0
57,0.387897968292,0,0
58,0.429444700480,0,0
59,0.341254204512,0,0
60,0.417003035545,0,0
61,0.370867311954,0,0
62,0.446269512177,0,0
63,0.389640986919,0,0
64,0.409650027752,0,0
65,0.359577298164,0,0
66,0.368990987539,0,0
67,0.360321462154,0,0
68,0.353219926357,0,0
69,0.428338408470,0,0
70,0.370052039623,0,0
71,0.399327397346,0,0
72,0.385091453791,0,0
73,0.469775617123,0,0
74,0.350457280874,0,0
75,0.402203977108,0,0
76,0.432598412037,0,0
77,0.374201238155,0,0
78,0.430322349072,0,0
79,0.398831009865,0,0
80,0.443976491690,0,0
81,0.352677524090,0,0
82,0.363044559956,0,0
83,0.376605540514,0,0
84,0.405800342560,0,0
85,0.412675559521,0,0
86,0.403697013855,0,0
87,0.394259870052,0,0
88,0.375737369061,0,0
89,0.380936861038,0,0
90,0.405366927385,0,0
91,0.418732404709,0,0
92,0.375276297331,0,0
93,0.332278221846,0,0
94,0.358307778835,0,0
95,0.411250621080,0,0
96,0.448470920324,0,0
97,0.399233400822,0,0
98,0.381523609161,0,0
99,0.357845216990,0,0
100,0.411674320698,0,0
101,0.391426473856,0,0
102,0.422452211380,0,0
103,0.401099473238,0,0
104,0.350704967976,0,0
105,0.392484605312,0,0
106,0.397917985916,0,0
107,0.359617114067,0,0
108,0.423290371895,0,0
109,0.366147071123,0,0
110,0.392990440130,0,0
111,0.363931745291,0,0
112,0.419528961182,0,0
113,0.417674303055,0,0
114,0.367344141006,0,0
115,0.369388729334,0,0
116,0.355306506157,0,0
