# widthsADWIN, reconstructionErrorTime, driftDecisions, driftLabels
1,0.341230034828,0,0
2,0.383254319429,0,0
3,0.409082919359,0,0
4,0.349156916142,0,0
5,0.400823146105,0,0
6,0.383095145226,0,0
7,0.388393610716,0,0
8,0.354304969311,0,0
9,0.337101876736,0,0
10,0.382563114166,0,0
11,0.438112437725,0,0
12,0.380479305983,0,0
13,0.339531809092,0,0
14,0.371758759022,0,0
15,0.359621912241,0,0
16,0.314731001854,0,0
17,0.363660275936,0,0
18,0.408276557922,0,0
19,0.337506234646,0,0
20,0.375192463398,0,0
21,0.374892592430,0,0
22,0.388262301683,0,0
23,0.368309020996,0,0
24,0.362877815962,0,0
25,0.348924219608,0,0
26,0.412583589554,0,0
27,0.294806361198,0,0
28,0.406619489193,0,0
29,0.338135063648,0,0
30,0.345385581255,0,0
31,0.371130734682,0,0
32,0.373831421137,0,0
33,0.374740898609,0,0
34,0.338020741940,0,0
35,0.361435353756,0,0
36,0.376018255949,0,0
37,0.402310073376,0,0
38,0.297440975904,0,0
39,0.357163518667,0,0
40,0.338040083647,0,0
41,0.382081449032,0,0
42,0.354116857052,0,0
43,0.369836449623,0,0
44,0.382401496172,0,0
45,0.346266478300,0,0
46,0.384690940380,0,0
47,0.377008914948,0,0
48,0.400239288807,0,0
49,0.390039414167,0,0
50,0.417522877455,0,0
51,0.373345375061,0,0
52,0.394561737776,0,0
53,0.354187548161,0,0
54,0.356247931719,0,0
55,0.352026283741,0,0
56,0.353442460299,0,0
57,0.340932101011,0,0
58,0.371403157711,0,0
59,0.343003630638,0,0
60,0.357618242502,0,0
61,0.400411099195,0,0
62,0.360607057810,0,0
63,0.371701329947,0,0
64,0.353573590517,0,0
65,0.354081094265,0,0
66,0.320668578148,0,0
67,0.351676583290,0,0
68,0.329950392246,0,0
69,0.382129669189,0,0
70,0.388975977898,0,0
71,0.322975218296,0,0
72,0.381783574820,0,0
73,0.348330825567,0,0
74,0.384680986404,0,0
75,0.366685807705,0,0
76,0.362020343542,0,0
77,0.308172166348,0,0
78,0.398652344942,0,0
79,0.317922085524,0,0
80,0.395482093096,0,0
81,0.385735481977,0,0
82,0.395409852266,0,0
83,0.371974200010,0,0
84,0.352017581463,0,0
85,0.281646251678,0,0
86,0.340898662806,0,0
87,0.355404078960,0,0
88,0.400503277779,0,0
89,0.384538054466,0,0
90,0.371944040060,0,0
91,0.321255981922,0,0
92,0.368928313255,0,0
93,0.363277226686,0,0
94,0.299049556255,0,0
95,0.358413308859,0,0
96,0.333675563335,0,0
97,0.353040874004,0,0
98,0.390577524900,0,0
99,0.375207781792,0,0
100,0.347819864750,0,0
101,0.393784254789,0,0
102,0.358078122139,0,0
103,0.375975161791,0,0
104,0.349032610655,0,0
105,0.310947448015,0,0
106,0.381807327271,0,0
107,0.357186257839,0,0
108,0.349951893091,0,0
109,0.344778269529,0,0
110,0.386714041233,0,0
111,0.373710155487,0,0
112,0.328559100628,0,0
113,0.354189783335,0,0
114,0.346884787083,0,0
115,0.366379618645,0,0
116,0.374621063471,0,0
117,0.326618343592,0,0
118,0.393654257059,0,0
119,0.344658166170,0,0
120,0.346840381622,0,0
121,0.327878117561,0,0
122,0.359174638987,0,0
123,0.347820758820,0,0
124,0.386772990227,0,0
125,0.334821105003,0,0
126,0.363829165697,0,0
127,0.366613358259,0,0
128,0.353753924370,0,0
129,0.373136103153,0,0
130,0.328849673271,0,0
131,0.364500135183,0,0
132,0.381940692663,0,0
133,0.384775936604,0,0
134,0.350103527308,0,0
135,0.374378472567,0,0
136,0.337782323360,0,0
137,0.401607543230,0,0
138,0.380303829908,0,0
139,0.366494774818,0,0
140,0.361655771732,0,0
141,0.406455278397,0,0
142,0.387038618326,0,0
143,0.346805900335,0,0
144,0.399177581072,0,0
145,0.336938977242,0,0
146,0.359678238630,0,0
147,0.446252793074,0,0
148,0.344829112291,0,0
149,0.348910748959,0,0
150,0.356078505516,0,0
151,0.345842033625,0,0
152,0.318601012230,0,0
153,0.354761630297,0,0
154,0.348139584064,0,0
155,0.360330581665,0,0
156,0.397729247808,0,0
157,0.358564734459,0,0
158,0.353086411953,0,0
159,0.356120049953,0,0
160,0.385787874460,0,0
161,0.335895001888,0,0
162,0.344903290272,0,0
163,0.422736167908,0,0
164,0.315435886383,0,0
165,0.392016649246,0,0
166,0.338079631329,0,0
167,0.331628024578,0,0
168,0.316508263350,0,0
169,0.356458008289,0,0
170,0.358621358871,0,0
171,0.333858400583,0,0
172,0.354342967272,0,0
173,0.390626490116,0,0
174,0.370467960835,0,0
175,0.333850651979,0,0
176,0.381664514542,0,0
177,0.385547935963,0,0
178,0.344978719950,0,0
179,0.368178784847,0,0
180,0.331202238798,0,0
181,0.358832359314,0,0
182,0.352803230286,0,0
183,0.348259955645,0,0
184,0.381844162941,0,0
185,0.343426674604,0,0
186,0.309456348419,0,0
187,0.363796472549,0,0
188,0.337634146214,0,0
189,0.405087053776,0,0
190,0.336028218269,0,0
191,0.371491461992,0,0
192,0.390474915504,0,0
193,0.353534817696,0,0
194,0.352607876062,0,0
195,0.353734523058,0,0
196,0.332622021437,0,0
197,0.360476076603,0,0
198,0.333159476519,0,0
199,0.380245834589,0,0
200,0.363720357418,0,0
201,0.386291891336,0,0
202,0.357510089874,0,0
203,0.366011887789,0,0
204,0.343415051699,0,0
205,0.382920444012,0,0
206,0.348725289106,0,0
207,0.339653879404,0,0
208,0.355145722628,0,0
209,0.398835778236,0,0
210,0.369134485722,0,0
211,0.333209216595,0,0
212,0.342683613300,0,0
213,0.396377593279,0,0
214,0.404375433922,0,0
215,0.354989588261,0,0
216,0.396818876266,0,0
217,0.369289010763,0,0
218,0.328794211149,0,0
219,0.355109602213,0,0
220,0.360521763563,0,0
221,0.380219757557,0,0
222,0.360463410616,0,0
223,0.401767164469,0,0
224,0.307661950588,0,0
225,0.363594442606,0,0
226,0.374861776829,0,0
227,0.347212076187,0,0
228,0.336782902479,0,0
229,0.344923138618,0,0
230,0.414948999882,0,0
231,0.358699649572,0,0
232,0.412566334009,0,0
233,0.340591162443,0,0
234,0.307900100946,0,0
235,0.422110646963,0,0
236,0.317069143057,0,0
237,0.400070667267,0,0
238,0.400549381971,0,0
239,0.350933372974,0,0
240,0.349511086941,0,0
241,0.373892992735,0,0
242,0.369513243437,0,0
243,0.376929610968,0,0
244,0.333558350801,0,0
245,0.345874309540,0,0
246,0.350484907627,0,0
247,0.383284419775,0,0
248,0.410755783319,0,0
249,0.373651742935,0,0
250,0.366665571928,0,0
251,0.360421270132,0,0
252,0.380580961704,0,0
253,0.387358367443,0,0
254,0.393980771303,0,0
255,0.363238066435,0,0
256,0.375370025635,0,0
257,0.384463965893,0,0
258,0.348990350962,0,0
259,0.400789588690,0,0
260,0.350878208876,0,0
261,0.385102450848,0,0
262,0.431690394878,0,0
263,0.391113281250,0,0
264,0.378740459681,0,0
265,0.379650652409,0,0
266,0.362437099218,0,0
267,0.358874231577,0,0
268,0.395018905401,0,0
269,0.411966890097,0,0
270,0.382142603397,0,0
271,0.380505174398,0,0
272,0.316462635994,0,0
273,0.368913531303,0,0
274,0.357946932316,0,0
275,0.373570919037,0,0
276,0.318656772375,0,0
277,0.408037990332,0,0
278,0.347422808409,0,0
279,0.395125448704,0,0
280,0.348383486271,0,0
281,0.424702554941,0,0
282,0.412979036570,0,0
283,0.367511570454,0,0
284,0.363717615604,0,0
285,0.402214258909,0,0
286,0.349411606789,0,0
287,0.345808744431,0,0
288,0.353155553341,0,0
289,0.369735538960,0,0
290,0.372388064861,0,0
291,0.359879314899,0,0
292,0.369574129581,0,0
293,0.344112724066,0,0
294,0.399550914764,0,0
295,0.371130436659,0,0
296,0.374950051308,0,0
297,0.406996458769,0,0
298,0.416733205318,0,0
299,0.354668319225,0,0
300,0.402182459831,0,0
301,0.282416462898,0,0
302,0.420967876911,0,0
303,0.355026692152,0,0
304,0.365743815899,0,0
305,0.344794422388,0,0
306,0.380361199379,0,0
307,0.326728880405,0,0
308,0.368920445442,0,0
309,0.371535718441,0,0
310,0.395016223192,0,0
311,0.375694751740,0,0
312,0.333831548691,0,0
313,0.383440256119,0,0
314,0.372353702784,0,0
315,0.337896257639,0,0
316,0.393237501383,0,0
317,0.357351630926,0,0
318,0.385977596045,0,0
319,0.361316263676,0,0
320,0.326064199209,0,0
321,0.375549525023,0,0
322,0.296089023352,0,0
323,0.328904479742,0,0
324,0.363977223635,0,0
325,0.374993711710,0,0
326,0.373904407024,0,0
327,0.410384953022,0,0
328,0.362228155136,0,0
329,0.329788237810,0,0
330,0.355587780476,0,0
331,0.354914426804,0,0
332,0.370076298714,0,0
333,0.391813963652,0,0
334,0.342002004385,0,0
335,0.323295593262,0,0
336,0.370075583458,0,0
337,0.429853916168,0,0
338,0.325753211975,0,0
339,0.400818228722,0,0
340,0.384966135025,0,0
341,0.337291002274,0,0
342,0.425789505243,0,0
343,0.384916216135,0,0
344,0.369825720787,0,0
345,0.358424514532,0,0
346,0.332764267921,0,0
347,0.338723659515,0,0
348,0.368934363127,0,0
349,0.373811393976,0,0
350,0.384669750929,0,0
351,0.330684483051,0,0
352,0.407109469175,0,0
353,0.413262575865,0,0
354,0.370122820139,0,0
355,0.343913853168,0,0
356,0.319232493639,0,0
357,0.395957767963,0,0
358,0.332584142685,0,0
359,0.279396951199,0,0
360,0.409458249807,0,0
361,0.355598360300,0,0
362,0.382392644882,0,0
363,0.313681960106,0,0
364,0.341855853796,0,0
365,0.467810451984,0,0
366,0.404121220112,0,0
367,0.368537276983,0,0
368,0.330602079630,0,0
369,0.357757508755,0,0
370,0.376165241003,0,0
371,0.377161741257,0,0
372,0.409452587366,0,0
373,0.337540268898,0,0
374,0.355716884136,0,0
375,0.315144807100,0,0
376,0.352373629808,0,0
377,0.374384164810,0,0
378,0.328281849623,0,0
379,0.354178607464,0,0
380,0.358323425055,0,0
381,0.337976008654,0,0
382,0.331477701664,0,0
383,0.394399166107,0,0
384,0.350573897362,0,0
385,0.380906105042,0,0
386,0.386437177658,0,0
387,0.324780195951,0,0
388,0.367344796658,0,0
389,0.362214386463,0,0
390,0.381415575743,0,0
391,0.372633308172,0,0
392,0.355761319399,0,0
393,0.370001286268,0,0
394,0.350719660521,0,0
395,0.345758378506,0,0
396,0.329228103161,0,0
397,0.400754809380,0,0
398,0.376945048571,0,0
399,0.368960052729,0,0
400,0.352552294731,0,0
401,0.324638664722,0,0
402,0.351210176945,0,0
403,0.470991373062,0,0
404,0.362827420235,0,0
405,0.346572011709,0,0
406,0.364394575357,0,0
407,0.380845963955,0,0
408,0.386902242899,0,0
409,0.343829721212,0,0
410,0.344295114279,0,0
411,0.345993816853,0,0
412,0.363678038120,0,0
413,0.395271658897,0,0
414,0.374507486820,0,0
415,0.338849067688,0,0
416,0.366736322641,0,0
417,0.301609009504,0,0
418,0.362805694342,0,0
419,0.339832872152,0,0
420,0.381058543921,0,0
421,0.348398715258,0,0
422,0.428703993559,0,0
423,0.381088376045,0,0
424,0.347240090370,0,0
425,0.373273998499,0,0
426,0.413252174854,0,0
427,0.389629155397,0,0
428,0.343738615513,0,0
429,0.350921124220,0,0
430,0.397541582584,0,0
431,0.339719593525,0,0
432,0.408720403910,0,0
433,0.375694423914,0,0
434,0.351924031973,0,0
435,0.381308317184,0,0
436,0.364755064249,0,0
437,0.337454617023,0,0
438,0.376999109983,0,0
439,0.386322855949,0,0
440,0.346367627382,0,0
441,0.330780297518,0,0
442,0.358783334494,0,0
443,0.341944694519,0,0
444,0.340427428484,0,0
445,0.336742699146,0,0
446,0.306073576212,0,0
447,0.389080584049,0,0
448,0.352328300476,0,0
449,0.376025438309,0,0
450,0.419273048639,0,0
451,0.370080709457,0,0
452,0.375058203936,0,0
453,0.457524448633,0,0
454,0.351075440645,0,0
455,0.338546246290,0,0
456,0.397857457399,0,0
457,0.333408355713,0,0
458,0.334139585495,0,0
459,0.401150435209,0,0
460,0.332364588976,0,0
461,0.327087581158,0,0
462,0.394288629293,0,0
463,0.399241864681,0,0
464,0.353468745947,0,0
465,0.369831651449,0,0
466,0.350469768047,0,0
467,0.401052743196,0,0
468,0.336651384830,0,0
469,0.358181089163,0,0
470,0.324904680252,0,0
471,0.366431027651,0,0
472,0.369655281305,0,0
473,0.292922139168,0,0
474,0.387923419476,0,0
475,0.388779073954,0,0
476,0.360311180353,0,0
477,0.368082255125,0,0
478,0.394884526730,0,0
479,0.346842110157,0,0
480,0.369448006153,0,0
481,0.370434105396,0,0
482,0.370445936918,0,0
483,0.418150454760,0,0
484,0.348529726267,0,0
485,0.358999878168,0,0
486,0.372162818909,0,0
487,0.320062160492,0,0
488,0.364773511887,0,0
489,0.367663085461,0,0
490,0.334991604090,0,0
491,0.380719631910,0,0
492,0.421675920486,0,0
493,0.384153068066,0,0
494,0.346644580364,0,0
495,0.371495991945,0,0
496,0.383090555668,0,0
497,0.377380728722,0,0
498,0.349347800016,0,0
499,0.375924259424,0,0
500,0.337704718113,0,0
501,0.379552185535,0,0
502,0.360515862703,0,0
503,0.422359228134,0,0
504,0.351709097624,0,0
505,0.398126810789,0,0
506,0.330937206745,0,0
507,0.298597127199,0,0
508,0.317483752966,0,0
509,0.341897904873,0,0
510,0.391239315271,0,0
511,0.341300249100,0,0
512,0.301097750664,0,0
513,0.347307085991,0,0
514,0.339693546295,0,0
515,0.347132891417,0,0
516,0.412736326456,0,0
517,0.360709965229,0,0
518,0.354431718588,0,0
519,0.333916127682,0,0
520,0.311644554138,0,0
521,0.308634817600,0,0
522,0.336750447750,0,0
523,0.328148454428,0,0
524,0.365487784147,0,0
525,0.364695280790,0,0
526,0.386781096458,0,0
527,0.352236002684,0,0
528,0.359284311533,0,0
529,0.384498387575,0,0
530,0.386720776558,0,0
531,0.399587064981,0,0
532,0.357266664505,0,0
533,0.357097923756,0,0
534,0.346178114414,0,0
535,0.359176158905,0,0
536,0.317418545485,0,0
537,0.370976835489,0,0
538,0.355792462826,0,0
539,0.324803888798,0,0
540,0.365875095129,0,0
541,0.408687144518,0,0
542,0.364321529865,0,0
543,0.357315868139,0,0
544,0.363897860050,0,0
545,0.371082782745,0,0
546,0.473701894283,0,0
547,0.386994034052,0,0
548,0.354191541672,0,0
549,0.350368767977,0,0
550,0.306073188782,0,0
551,0.332274109125,0,0
552,0.385823577642,0,0
553,0.349051445723,0,0
554,0.317299306393,0,0
555,0.400681138039,0,0
556,0.349347114563,0,0
557,0.421630114317,0,0
558,0.399942368269,0,0
559,0.323023915291,0,0
560,0.385250091553,0,0
561,0.356692492962,0,0
562,0.338902413845,0,0
563,0.335102766752,0,0
564,0.365705043077,0,0
565,0.356875419617,0,0
566,0.373382031918,0,0
567,0.333350330591,0,0
568,0.353561639786,0,0
569,0.386846065521,0,0
570,0.355205446482,0,0
571,0.352165073156,0,0
572,0.335427522659,0,0
573,0.343986868858,0,0
574,0.374206066132,0,0
575,0.354035347700,0,0
576,0.376921385527,0,0
577,0.401601582766,0,0
578,0.360797822475,0,0
579,0.401556611061,0,0
580,0.353578686714,0,0
581,0.391066372395,0,0
582,0.393855184317,0,0
583,0.343758910894,0,0
584,0.433012098074,0,0
585,0.328536152840,0,0
586,0.358764350414,0,0
