# widthsADWIN, reconstructionErrorTime, driftDecisions, driftLabels
1,0.342544257641,0,0
2,0.422790229321,0,0
3,0.413348168135,0,0
4,0.426004439592,0,0
5,0.374657869339,0,0
6,0.395233482122,0,0
7,0.379153609276,0,0
8,0.365876823664,0,0
9,0.383520662785,0,0
10,0.467884302139,0,0
11,0.464652985334,0,0
12,0.335956603289,0,0
13,0.340999424458,0,0
14,0.407552063465,0,0
15,0.414549112320,0,0
16,0.380567818880,0,0
17,0.391504645348,0,0
18,0.403943061829,0,0
19,0.396259605885,0,0
20,0.376629382372,0,0
21,0.433197140694,0,0
22,0.417973875999,0,0
23,0.367652058601,0,0
24,0.357234120369,0,0
25,0.414256960154,0,0
26,0.349624395370,0,0
27,0.396904319525,0,0
28,0.381103903055,0,0
29,0.370352327824,0,0
30,0.421326220036,0,0
31,0.380987465382,0,0
32,0.377018153667,0,0
33,0.441200554371,0,0
34,0.389370977879,0,0
35,0.364093363285,0,0
36,0.416315048933,0,0
37,0.400574624538,0,0
38,0.378079980612,0,0
39,0.374317973852,0,0
40,0.405057668686,0,0
41,0.340801805258,0,0
42,0.359179645777,0,0
43,0.403493225574,0,0
44,0.379571080208,0,0
45,0.336392521858,0,0
46,0.429523676634,0,0
47,0.417133152485,0,0
48,0.374967783689,0,0
49,0.431664049625,0,0
50,0.389809221029,0,0
51,0.353390961885,0,0
52,0.422286003828,0,0
53,0.387773454189,0,0
54,0.403836220503,0,0
55,0.372206211090,0,0
56,0.378014326096,0,0
57,0.391611576080,0,0
58,0.436629831791,0,0
59,0.341419398785,0,0
60,0.414706081152,0,0
61,0.380281955004,0,0
62,0.446497648954,0,0
63,0.396436840296,0,0
64,0.417920440435,0,0
65,0.350675880909,0,0
66,0.372424125671,0,0
67,0.359102666378,0,0
68,0.349817037582,0,0
69,0.423927128315,0,0
70,0.366130203009,0,0
71,0.402139395475,0,0
72,0.390503495932,0,0
73,0.465664267540,0,0
74,0.348685532808,0,0
75,0.401312232018,0,0
76,0.439276009798,0,0
77,0.372110515833,0,0
78,0.421865582466,0,0
79,0.403298586607,0,0
80,0.462987810373,0,0
81,0.350400686264,0,0
82,0.365099132061,0,0
83,0.362261116505,0,0
84,0.407963216305,0,0
85,0.421821773052,0,0
86,0.413337022066,0,0
87,0.404058933258,0,0
88,0.380264431238,0,0
89,0.386656373739,0,0
90,0.412219941616,0,0
91,0.421323597431,0,0
92,0.370893657207,0,0
93,0.325109958649,0,0
94,0.365185499191,0,0
95,0.414858102798,0,0
96,0.435513794422,0,0
97,0.403873234987,0,0
98,0.373440027237,0,0
99,0.351736456156,0,0
100,0.413447111845,0,0
101,0.385184139013,0,0
102,0.414490938187,0,0
103,0.398650497198,0,0
104,0.354801297188,0,0
105,0.384247928858,0,0
106,0.398070484400,0,0
107,0.357235729694,0,0
108,0.421060740948,0,0
109,0.379272997379,0,0
110,0.408676058054,0,0
111,0.368150860071,0,0
112,0.423041969538,0,0
113,0.405337452888,0,0
114,0.372356355190,0,0
115,0.368234336376,0,0
116,0.351006448269,0,0
117,0.412844061852,0,0
118,0.401189565659,0,0
119,0.351647496223,0,0
120,0.402179688215,0,0
121,0.396234720945,0,0
122,0.401838868856,0,0
123,0.401230692863,0,0
124,0.412616789341,0,0
125,0.385538339615,0,0
126,0.418671965599,0,0
127,0.418372005224,0,0
128,0.431714773178,0,0
129,0.435949981213,0,0
130,0.354452371597,0,0
131,0.410325944424,0,0
132,0.435563564301,0,0
133,0.397613525391,0,0
134,0.442293167114,0,0
135,0.364236503839,0,0
136,0.379902839661,0,0
137,0.414709657431,0,0
138,0.398648947477,0,0
139,0.412047058344,0,0
140,0.377605110407,0,0
141,0.375043392181,0,0
142,0.384069770575,0,0
143,0.384011983871,0,0
144,0.343955457211,0,0
145,0.383506059647,0,0
146,0.403789669275,0,0
147,0.374503612518,0,0
148,0.390153855085,0,0
149,0.382962554693,0,0
150,0.387195378542,0,0
151,0.359259456396,0,0
152,0.365389764309,0,0
153,0.373151868582,0,0
154,0.373201072216,0,0
155,0.373601138592,0,0
156,0.402682572603,0,0
157,0.400290340185,0,0
158,0.372451514006,0,0
159,0.378374874592,0,0
160,0.372189968824,0,0
161,0.356400042772,0,0
162,0.394344478846,0,0
163,0.419359296560,0,0
164,0.365758091211,0,0
165,0.387813448906,0,0
166,0.454034954309,0,0
167,0.393222332001,0,0
168,0.407223552465,0,0
169,0.444643259048,0,0
170,0.392333030701,0,0
171,0.332551389933,0,0
172,0.387639671564,0,0
173,0.367098897696,0,0
174,0.372872531414,0,0
175,0.427437841892,0,0
176,0.352623611689,0,0
177,0.385971188545,0,0
178,0.378673881292,0,0
179,0.370698124170,0,0
180,0.433596819639,0,0
181,0.390767186880,0,0
182,0.419351130724,0,0
183,0.381241172552,0,0
184,0.367815017700,0,0
185,0.416564404964,0,0
186,0.369244247675,0,0
187,0.467985332012,0,0
188,0.417851984501,0,0
189,0.366528481245,0,0
190,0.412475705147,0,0
191,0.384623378515,0,0
192,0.391631364822,0,0
193,0.348166078329,0,0
194,0.356048882008,0,0
195,0.368765532970,0,0
196,0.369862884283,0,0
197,0.384322762489,0,0
198,0.358279347420,0,0
199,0.397583156824,0,0
200,0.402260571718,0,0
201,0.421745270491,0,0
202,0.395810574293,0,0
203,0.397693604231,0,0
204,0.373011052608,0,0
205,0.442606121302,0,0
206,0.380822896957,0,0
207,0.370077401400,0,0
208,0.365992307663,0,0
209,0.402733385563,0,0
210,0.369912236929,0,0
211,0.412606328726,0,0
212,0.388025879860,0,0
213,0.373157203197,0,0
214,0.374111026525,0,0
215,0.383891612291,0,0
216,0.381901770830,0,0
217,0.395334392786,0,0
218,0.434798538685,0,0
219,0.400798231363,0,0
220,0.381102323532,0,0
221,0.437067627907,0,0
222,0.380778372288,0,0
223,0.388326555490,0,0
224,0.357417970896,0,0
225,0.387004911900,0,0
226,0.412210524082,0,0
227,0.371821731329,0,0
228,0.352120220661,0,0
229,0.386060893536,0,0
230,0.419959336519,0,0
231,0.403469175100,0,0
232,0.322623282671,0,0
233,0.368432015181,0,0
234,0.378341287374,0,0
235,0.421700924635,0,0
236,0.394735753536,0,0
237,0.396463751793,0,0
238,0.442293733358,0,0
239,0.377145558596,0,0
240,0.355784922838,0,0
241,0.414877474308,0,0
242,0.392045110464,0,0
243,0.389648765326,0,0
244,0.398695468903,0,0
245,0.355683654547,0,0
246,0.390630125999,0,0
247,0.433645009995,0,0
248,0.355590999126,0,0
249,0.382673174143,0,0
250,0.401355743408,0,0
251,0.369058817625,0,0
252,0.410069257021,0,0
253,0.371556580067,0,0
254,0.361276149750,0,0
255,0.375846356153,0,0
256,0.304982781410,0,0
257,0.361875534058,0,0
