,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
NewAE_KeepADWIN,204.0,186.9353239202658,0.1184179676951465,0.2508097025053133,0.3036255244438032,0.3508514515177659,0.24000000000000005,0.51,0.618,0.7140000000000001,0.15849804244128565,0.3360583756740489,0.4069577792972568,0.4702361215040605
NewAE_InitADWIN,93.2,87.11530303030304,0.5283722983769238,0.820257793008718,0.8888898817032489,0.9276262859866004,0.4920000000000001,0.764,0.828,0.8640000000000001,0.5094515707138305,0.7909959723086428,0.8572201039880747,0.8945317384466399
NewAE_InitFeedADWIN,99.4,92.63294685990341,0.5849839124328977,0.7878637794740537,0.8479597688131857,0.8739506406336119,0.58,0.782,0.8420000000000001,0.868,0.5823457150945925,0.7847357720911778,0.8447698625618456,0.8707576171130089
RetrainAE_KeepADWIN,191.2,173.10791160593791,0.09141985470770256,0.2373181089527853,0.3210027972685901,0.3629360921945776,0.174,0.4520000000000001,0.612,0.6920000000000001,0.11979085195077795,0.3110417497510272,0.42087684892435495,0.4758699701020343
RetrainAE_InitADWIN,92.2,123.65470955401187,0.3646725565140899,0.7486565697853694,0.8228607352269766,0.9049504836893776,0.336,0.69,0.758,0.8340000000000001,0.3496869074498685,0.7180000393817934,0.7889536549221406,0.8678703930594696
RetrainAE_InitFeedADWIN,103.8,120.17067643063595,0.3898477125215396,0.6958646613440558,0.7793865628307957,0.8181096767434564,0.404,0.72,0.8059999999999998,0.8460000000000001,0.3963704631543746,0.7070101623720688,0.7916858885191143,0.8309907255519347
