,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
NewAE_KeepADWIN,263.0,97.38619462431903,0.17631784709679582,0.28311686178495665,0.3060980308180977,0.3357819405783166,0.4640000000000001,0.7440000000000001,0.804,0.882,0.2554632399707338,0.4100398025800442,0.44326344287229935,0.4862542926826275
NewAE_InitADWIN,116.6,65.9124574829932,0.7549998986049116,0.79959259657609,0.8046773423388021,0.8150575484062793,0.8800000000000001,0.9319999999999998,0.938,0.95,0.8125911483660792,0.8605951809868566,0.86609976814282,0.8772297744080142
NewAE_InitFeedADWIN,128.8,63.16704931972789,0.6809546458860691,0.7213476218175787,0.7275750749200317,0.7337462304373651,0.8759999999999999,0.928,0.9359999999999996,0.9440000000000001,0.7660209184222243,0.8114726409723951,0.8184754623376789,0.8254383666547135
RetrainAE_KeepADWIN,241.0,122.55985198889915,0.1548416798009366,0.27732849699761664,0.3280458651922737,0.36625131663973204,0.372,0.6659999999999999,0.7879999999999999,0.8800000000000001,0.2185198560805163,0.3913537176783773,0.4629584151146322,0.5169177808015928
RetrainAE_InitADWIN,99.6,61.705008865248224,0.8437881383322561,0.912107589189522,0.9241972327392494,0.9361235109428389,0.8400000000000001,0.9079999999999999,0.9200000000000002,0.9319999999999998,0.8417767856017294,0.9099266142700704,0.9219690189907348,0.9339306033844682
RetrainAE_InitFeedADWIN,100.0,50.55518617021277,0.8425117277680302,0.9105502662603504,0.92451736079047,0.9304404377135468,0.8420000000000001,0.91,0.924,0.93,0.8421378339514624,0.9101474485984012,0.9241292350123368,0.9300900193260622
