,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
NewAE_KeepADWIN,519.2,237.67304059921844,0.022801247920055168,0.07475082996778988,0.11495998609358285,0.13225381792793786,0.11800000000000002,0.388,0.596,0.6859999999999999,0.038211118736104915,0.12532831897335445,0.1927080149011016,0.22171585690781387
NewAE_InitADWIN,137.2,119.13354421768707,0.2627642785762036,0.52348324354451,0.6125236056585066,0.6576840726806372,0.36,0.7179999999999999,0.8400000000000001,0.902,0.30375111327905124,0.6054292571666536,0.7083634889248485,0.7606143220283408
NewAE_InitFeedADWIN,374.6,109.96156462585036,0.11736891560928715,0.19279280304895466,0.2237815909492004,0.2499730550538225,0.4400000000000001,0.7219999999999999,0.8379999999999999,0.936,0.1852973920666336,0.30430639016831,0.3532150016842551,0.39454841492867215
RetrainAE_KeepADWIN,447.2,195.1437056737589,0.025877623694389926,0.1033398010230366,0.15074511718670924,0.17449342066951715,0.11600000000000002,0.462,0.674,0.78,0.042313759751149836,0.1688924935615499,0.2463733993895365,0.2851746624528524
RetrainAE_InitADWIN,107.4,98.86513605442177,0.3743802807953752,0.6891106028841878,0.8027450606695891,0.8566622196810876,0.402,0.74,0.8620000000000001,0.9200000000000002,0.3876848394324122,0.7136240620221203,0.8312886304633876,0.8871709520253208
RetrainAE_InitFeedADWIN,439.4,101.97551020408164,0.08517072234485668,0.1712971058620108,0.20136519989876792,0.2136668926717519,0.374,0.752,0.8840000000000001,0.9379999999999996,0.13872695852599165,0.2789979277989659,0.3279704614683389,0.34800600039162954
