,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
NewAE_KeepADWIN,167.0,373.0182561132562,0.061860004541638765,0.1174730708425481,0.192264220661524,0.2631347839271103,0.102,0.194,0.31799999999999995,0.4360000000000001,0.07691024265030766,0.14613457770417898,0.2393105852632612,0.3277503887873719
NewAE_InitADWIN,73.8,223.4275697125697,0.16283196730565153,0.41196933775881145,0.6528323059902007,0.8323477612951298,0.12000000000000002,0.3040000000000001,0.48200000000000004,0.614,0.13815533751592055,0.3498004265495657,0.5544930507013625,0.7066043709894834
NewAE_InitFeedADWIN,144.2,214.7428443402666,0.14349433790485738,0.2952993358414268,0.3907381412720868,0.4853733628141656,0.20600000000000002,0.424,0.562,0.6980000000000001,0.16902398320212114,0.34786900474606997,0.4606039407372256,0.5721261861847526
RetrainAE_KeepADWIN,110.6,414.6579575436151,0.0834234212473427,0.15347061586522756,0.2284647829050489,0.3306893581368838,0.09,0.16999999999999998,0.252,0.36,0.0860406862156649,0.16019950375687642,0.2380354489626213,0.3426024375886773
RetrainAE_InitADWIN,62.4,299.2465879695998,0.05716420651585541,0.24778699570130405,0.4506549612463046,0.6734899690485964,0.036000000000000004,0.15399999999999994,0.28,0.4199999999999999,0.04906203593469552,0.18983139537900728,0.3451596344884317,0.5170089982568392
RetrainAE_InitFeedADWIN,217.8,176.96154309596176,0.11341263139036604,0.2485731544721915,0.3218083969137068,0.3963251859630167,0.256,0.5400000000000001,0.69,0.8440000000000001,0.15620956546809264,0.3378828223251995,0.4354568816922637,0.5351469338626663
