,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
NewAE_KeepADWIN,192.8,438.7199594270827,0.03971404569256566,0.07200071654171514,0.1113189710719434,0.16357233551569345,0.07600000000000001,0.138,0.214,0.31399999999999995,0.05207886982045238,0.09445930461141053,0.14620796605277767,0.2147373381536592
NewAE_InitADWIN,62.2,288.4031940251073,0.08426858967876764,0.26308943860181344,0.4526859178548556,0.6634698907877439,0.052000000000000005,0.16399999999999998,0.282,0.412,0.06427961993767667,0.20195185416175584,0.3473425104716029,0.5080728703064231
NewAE_InitFeedADWIN,225.6,340.6778369207886,0.040478151565297014,0.08546979982444566,0.1120568285525004,0.1354780507200458,0.09,0.192,0.252,0.306,0.055709658491364916,0.11797762775030088,0.15472093684305438,0.1872991673491655
RetrainAE_KeepADWIN,190.2,456.43667809499163,0.01686463446288445,0.07554562006696594,0.10561947725113564,0.16850835746055515,0.032,0.14400000000000002,0.202,0.31999999999999995,0.024531607782057173,0.09903687648610107,0.13861952768349373,0.22061684578558866
RetrainAE_InitADWIN,73.0,295.7485060690944,0.06857684752421596,0.244115017272912,0.3836711147237464,0.6389561742193323,0.05,0.17800000000000002,0.28,0.466,0.05782373239446687,0.205845344334424,0.32368473641552564,0.5388566856355431
RetrainAE_InitFeedADWIN,315.4,299.34572096843436,0.034061483025853635,0.07097707494844294,0.0895314249137088,0.12017191919690573,0.10799999999999997,0.224,0.282,0.38,0.05175890124104117,0.10773610493379364,0.13583598625390728,0.1824938372520781
