,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
NewAE_KeepADWIN,763.1560000000003,427.5956140350878,0.009159804840339193,0.03345748253106828,0.06841715308719434,0.1012996374404276,0.06842105263157894,0.25789473684210523,0.5210526315789473,0.768421052631579,0.02690674478385333,0.059194427115295635,0.12088040636747616,0.17889680983016626
NewAE_InitADWIN,237.895,63.136842105263156,0.3050685742718583,0.3809171385454919,0.3985646707593978,0.4207071524682532,0.7263157894736841,0.9052631578947368,0.9473684210526316,1.0,0.4295903329671987,0.5361167315271793,0.5609828417850806,0.5921485552175849
NewAE_InitFeedADWIN,16584.21,21.36842105263158,0.005712472231037766,0.0060298317994287535,0.0060298317994287535,0.0060298317994287535,0.9473684210526316,1.0,1.0,1.0,0.011356466876971607,0.01198738170347003,0.01198738170347003,0.01198738170347003
RetrainAE_KeepADWIN,836.84,553.578947368421,0.025157232704402517,0.025157232704402517,0.0440251572327044,0.07547169811320754,0.21052631578947367,0.21052631578947367,0.3684210526315789,0.631578947368421,0.044943820224719114,0.044943820224719114,0.07865168539325842,0.1348314606741573
RetrainAE_InitADWIN,268.42,157.78947368421052,0.19607843137254904,0.29411764705882354,0.3333333333333333,0.3333333333333333,0.5263157894736842,0.7894736842105263,0.8947368421052632,0.8947368421052632,0.2857142857142857,0.42857142857142855,0.4857142857142857,0.4857142857142857
RetrainAE_InitFeedADWIN,18026.32,18.0,0.005547445255474452,0.005547445255474452,0.005547445255474452,0.005547445255474452,1.0,1.0,1.0,1.0,0.011033681765389082,0.011033681765389082,0.011033681765389082,0.011033681765389082
