,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
NewAE_KeepADWIN,369.4,305.0405784398057,0.01839323288738348,0.05717712425954321,0.10562952069590284,0.1515617971754559,0.06800000000000002,0.212,0.39,0.5599999999999999,0.028951456873984514,0.09005401572726192,0.16621784748885074,0.23853419230180445
NewAE_InitADWIN,90.8,234.0257575757576,0.11237742830712302,0.4648257786000617,0.6321872751567479,0.7468331791551033,0.102,0.42200000000000004,0.574,0.6779999999999999,0.10693208536805934,0.4423559866160246,0.6016583016820402,0.7107171278712243
NewAE_InitFeedADWIN,331.2,203.9183932346724,0.03614848114248093,0.1176735840015968,0.1756823319757009,0.2084328435649414,0.12000000000000002,0.39,0.5820000000000001,0.6900000000000001,0.05555118007765696,0.18076731291517306,0.26985100041515986,0.3201045765232159
RetrainAE_KeepADWIN,356.0,308.41231077770783,0.026364896746401262,0.05842228188760525,0.09048747339513324,0.14953750373043265,0.094,0.208,0.32199999999999995,0.532,0.04117773021831634,0.09121683743120663,0.1412659079377368,0.2334395548634048
RetrainAE_InitADWIN,89.4,227.27898989898983,0.09398989898989897,0.4026767676767676,0.6532323232323233,0.8009595959595959,0.08399999999999999,0.36,0.5839999999999999,0.716,0.08871220604703248,0.3801343784994401,0.6166629339305711,0.7560806270996641
RetrainAE_InitFeedADWIN,362.6,194.5207392152021,0.04413659484203945,0.11865529120569245,0.1666774470203411,0.2013878016059679,0.15999999999999998,0.43,0.604,0.73,0.06918303370063858,0.1859741475676468,0.2612393105777958,0.3156629457849728
