,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
NewAE_KeepADWIN,345.6,267.2460292127815,0.027220098524529168,0.07576526114180335,0.111680935733298,0.15632119443426692,0.094,0.262,0.386,0.54,0.042206732848297165,0.11751848337985188,0.1732087549517943,0.2424122683773129
NewAE_InitADWIN,79.6,243.2979487179488,0.14826923076923074,0.4448717948717949,0.5755128205128205,0.7110897435897435,0.11800000000000002,0.354,0.458,0.5660000000000001,0.1314107365792759,0.3942571785268415,0.5100624219725344,0.6302871410736579
NewAE_InitFeedADWIN,392.4,230.4693139068763,0.05043282222107305,0.12960967711197066,0.1611491102871719,0.1856059058312233,0.198,0.5080000000000001,0.6319999999999999,0.728,0.08037293695251377,0.20648528773736027,0.25676410661342186,0.2957391560731327
RetrainAE_KeepADWIN,361.2,245.16632607158925,0.02645732223556016,0.07073795485700445,0.10123838923863156,0.15503248432913938,0.096,0.256,0.366,0.5599999999999999,0.041477641374123096,0.11083486881243558,0.15858753863512026,0.24280913106761495
RetrainAE_InitADWIN,79.6,228.79692307692304,0.16346153846153846,0.4573076923076923,0.6057051282051282,0.7136538461538462,0.12999999999999998,0.3639999999999999,0.482,0.5680000000000002,0.14481897627965046,0.4053433208489388,0.5368039950062422,0.6325343320848937
RetrainAE_InitFeedADWIN,400.0,210.63400041114195,0.0443734320739609,0.12180337140375383,0.1544798705476828,0.1810869522323367,0.17800000000000002,0.4859999999999999,0.6159999999999999,0.7240000000000001,0.07100634836826444,0.19470622981888566,0.2469128917027336,0.2895881450088192
