# widthsADWIN, reconstructionErrorTime, driftDecisions
1,0.445397317410,0
2,0.402195900679,0
3,0.403152406216,0
4,0.426504701376,0
5,0.375014096498,0
6,0.439454227686,0
7,0.408207654953,0
8,0.368102043867,0
9,0.431207895279,0
10,0.377041876316,0
11,0.376968204975,0
12,0.406246244907,0
13,0.348008424044,0
14,0.402416050434,0
15,0.400019228458,0
16,0.445548325777,0
17,0.377501994371,0
18,0.450910866261,0
19,0.416841775179,0
20,0.406498789787,0
21,0.416029095650,0
22,0.435920536518,0
23,0.385169953108,0
24,0.411649376154,0
25,0.411614090204,0
26,0.402649641037,0
27,0.438679665327,0
28,0.478881806135,0
29,0.419508785009,0
30,0.425980001688,0
31,0.423083275557,0
32,0.425710856915,0
33,0.431453794241,0
34,0.426255226135,0
35,0.402688056231,0
36,0.467673093081,0
37,0.410892367363,0
38,0.348501920700,0
39,0.433497041464,0
40,0.430231422186,0
41,0.374505519867,0
42,0.471077203751,0
43,0.444657534361,0
44,0.380032926798,0
45,0.374402374029,0
46,0.449352771044,0
47,0.417818635702,0
48,0.430271387100,0
49,0.408228933811,0
50,0.398461133242,0
51,0.408235400915,0
52,0.460701286793,0
53,0.403452903032,0
54,0.374044746161,0
55,0.448222339153,0
56,0.433372914791,0
57,0.380538284779,0
58,0.423724323511,0
59,0.478264540434,0
60,0.435732245445,0
61,0.377905488014,0
62,0.376579046249,0
63,0.461938649416,0
64,0.420496910810,0
65,0.381728023291,0
66,0.455108106136,0
67,0.417732983828,0
68,0.388584822416,0
69,0.382890492678,0
70,0.420639067888,0
71,0.340106874704,0
72,0.381740301847,0
73,0.406994014978,0
74,0.410100340843,0
75,0.376772344112,0
76,0.377721577883,0
77,0.413166791201,0
78,0.421484947205,0
79,0.382099688053,0
80,0.429369062185,0
81,0.440809398890,0
82,0.392157882452,0
83,0.395609945059,0
84,0.383089810610,0
85,0.404922246933,0
86,0.421721428633,0
87,0.355885714293,0
88,0.458912044764,0
89,0.377840548754,0
90,0.395705103874,0
91,0.446083515882,0
92,0.471223294735,0
93,0.455243468285,0
94,0.418016523123,0
95,0.389141589403,0
96,0.438552349806,0
97,0.381450325251,0
98,0.434747070074,0
99,0.342132776976,0
100,0.441941887140,0
101,0.413453131914,0
102,0.413961499929,0
103,0.422025501728,0
104,0.458213478327,0
105,0.366874575615,0
106,0.393613398075,0
107,0.404281735420,0
108,0.398071855307,0
109,0.437023013830,0
110,0.354011982679,0
111,0.384459525347,0
112,0.400282770395,0
113,0.368075340986,0
114,0.380040109158,0
115,0.363949120045,0
116,0.414230048656,0
117,0.450973957777,0
118,0.427375823259,0
119,0.382547825575,0
120,0.430793672800,0
121,0.355730324984,0
122,0.386686891317,0
123,0.416360825300,0
124,0.455412119627,0
125,0.446738779545,0
126,0.447632074356,0
127,0.447710454464,0
128,0.401278436184,0
129,0.384084373713,0
130,0.404248416424,0
131,0.408898770809,0
132,0.449388861656,0
133,0.448327064514,0
134,0.459911257029,0
135,0.432297915220,0
136,0.375304937363,0
137,0.356765478849,0
138,0.419400602579,0
139,0.426806479692,0
140,0.422314763069,0
141,0.432428598404,0
142,0.393799722195,0
143,0.379865765572,0
144,0.426604747772,0
145,0.416169852018,0
146,0.444028586149,0
147,0.382261306047,0
148,0.426127523184,0
149,0.435726821423,0
150,0.413517206907,0
151,0.400244444609,0
152,0.411258727312,0
153,0.447395205498,0
154,0.465422391891,0
155,0.393560260534,0
156,0.430173337460,0
157,0.401171714067,0
158,0.390295207500,0
159,0.424815714359,0
160,0.423848479986,0
161,0.387965559959,0
162,0.414248108864,0
163,0.400955438614,0
164,0.424034178257,0
165,0.406919896603,0
166,0.361051708460,0
167,0.382638752460,0
168,0.460101962090,0
169,0.428200155497,0
170,0.398606985807,0
171,0.387494355440,0
172,0.407035320997,0
173,0.376262873411,0
174,0.381038039923,0
175,0.337431848049,0
176,0.465361446142,0
177,0.396895289421,0
178,0.429838478565,0
179,0.380823463202,0
180,0.388212800026,0
181,0.362851828337,0
182,0.415977805853,0
183,0.472947776318,0
184,0.421071976423,0
185,0.429217964411,0
186,0.433040410280,0
187,0.402653694153,0
188,0.397737592459,0
189,0.355923950672,0
190,0.394754052162,0
191,0.399703919888,0
192,0.442878097296,0
193,0.355808943510,0
194,0.434192836285,0
195,0.449630975723,0
196,0.442008644342,0
197,0.394133597612,0
198,0.369348198175,0
199,0.390897691250,0
200,0.434208780527,0
201,0.402162611485,0
202,0.434159785509,0
203,0.392621845007,0
204,0.345190674067,0
205,0.364089518785,0
206,0.417320221663,0
207,0.425478190184,0
208,0.464160650969,0
209,0.406499743462,0
210,0.424115717411,0
211,0.395867884159,0
212,0.362993836403,0
213,0.411941677332,0
214,0.408728122711,0
215,0.440768271685,0
216,0.440358787775,0
217,0.457442104816,0
218,0.353826671839,0
219,0.404447436333,0
220,0.410071015358,0
221,0.347335010767,0
222,0.402227401733,0
223,0.429711043835,0
224,0.397805809975,0
225,0.433734267950,0
226,0.410174429417,0
227,0.418952465057,0
228,0.365879535675,0
229,0.383135169744,0
230,0.411352038383,0
231,0.447789967060,0
232,0.403432071209,0
233,0.425789922476,0
234,0.395335406065,0
235,0.417363435030,0
236,0.461729049683,0
237,0.389117240906,0
238,0.429662466049,0
239,0.379868894815,0
240,0.474999278784,0
241,0.369890362024,0
242,0.415716081858,0
243,0.418708860874,0
244,0.417886346579,0
245,0.398280292749,0
246,0.409981220961,0
247,0.413327813148,0
248,0.426550626755,0
249,0.425693392754,0
250,0.392412722111,0
251,0.390583902597,0
252,0.453294694424,0
253,0.429387152195,0
254,0.371610134840,0
255,0.420544058084,0
256,0.402230501175,0
257,0.428711771965,0
258,0.398051351309,0
259,0.408873856068,0
260,0.382666736841,0
261,0.389956235886,0
262,0.367774426937,0
263,0.444266438484,0
264,0.373124748468,0
265,0.398126453161,0
266,0.421234905720,0
267,0.427284777164,0
268,0.434471011162,0
269,0.416294455528,0
270,0.410749942064,0
271,0.438276290894,0
272,0.405874580145,0
273,0.454961121082,0
274,0.434287279844,0
275,0.450204521418,0
276,0.418306738138,0
277,0.390141427517,0
278,0.368501305580,0
279,0.406214058399,0
280,0.397180646658,0
281,0.413289368153,0
282,0.385609894991,0
283,0.447294235229,0
284,0.408955693245,0
285,0.418568044901,0
286,0.434364467859,0
287,0.412890702486,0
288,0.451106518507,0
289,0.421985685825,0
290,0.480405688286,0
291,0.424581646919,0
292,0.450161337852,0
293,0.445214480162,0
294,0.416930854321,0
295,0.387157917023,0
296,0.388279885054,0
297,0.376024901867,0
298,0.443380922079,0
299,0.393929183483,0
300,0.359431356192,0
301,0.375459969044,0
302,0.419274955988,0
303,0.484011799097,0
304,0.403936833143,0
305,0.348606020212,0
306,0.395899564028,0
307,0.403207778931,0
308,0.550028085709,0
309,0.393180668354,0
310,0.420680612326,0
311,0.420542389154,0
312,0.375311851501,0
313,0.442904561758,0
314,0.431643217802,0
315,0.487658798695,0
316,0.425708144903,0
317,0.426565974951,0
318,0.414522439241,0
319,0.428077876568,0
320,0.446617037058,0
321,0.430335640907,0
322,0.425984829664,0
323,0.479085445404,0
324,0.441316574812,0
325,0.443205624819,0
326,0.443462133408,0
327,0.395298629999,0
328,0.407538235188,0
329,0.422334223986,0
330,0.422481060028,0
331,0.401235044003,0
332,0.363239526749,0
333,0.442289084196,0
334,0.408893764019,0
335,0.385852187872,0
336,0.438980638981,0
337,0.403227150440,0
338,0.409083127975,0
339,0.427141249180,0
340,0.400809407234,0
341,0.419976860285,0
342,0.411216229200,0
343,0.390337944031,0
344,0.444598555565,0
345,0.370077490807,0
346,0.409331053495,0
347,0.414204686880,0
348,0.448620349169,0
349,0.426950395107,0
350,0.414337992668,0
351,0.491110414267,0
352,0.351749002934,0
353,0.457793086767,0
354,0.416072487831,0
355,0.437559783459,0
356,0.371774196625,0
357,0.412469834089,0
358,0.431732296944,0
359,0.434815645218,0
360,0.387246906757,0
361,0.453798264265,0
362,0.375200986862,0
363,0.396996468306,0
364,0.464966803789,0
365,0.437294274569,0
366,0.420504510403,0
367,0.402369558811,0
368,0.423473864794,0
369,0.438313335180,0
370,0.349063336849,0
371,0.400926977396,0
372,0.469594806433,0
373,0.406248986721,0
374,0.392789304256,0
375,0.430589079857,0
376,0.394893795252,0
377,0.396246016026,0
378,0.436892211437,0
379,0.384808540344,0
380,0.389720618725,0
381,0.411921113729,0
382,0.400251954794,0
383,0.386661052704,0
384,0.417621403933,0
385,0.382944077253,0
386,0.389816224575,0
387,0.413460820913,0
388,0.393348455429,0
389,0.406731635332,0
390,0.383059829473,0
391,0.407156586647,0
392,0.426660478115,0
393,0.419145047665,0
394,0.407304316759,0
395,0.465816706419,0
396,0.370250731707,0
397,0.411728590727,0
398,0.386304527521,0
399,0.388649284840,0
400,0.360491991043,0
401,0.365876793861,0
402,0.401089996099,0
403,0.426911711693,0
404,0.354203164577,0
405,0.394623875618,0
406,0.445199608803,0
407,0.368016123772,0
408,0.335783600807,0
409,0.376335024834,0
410,0.438598453999,0
411,0.435906559229,0
412,0.402462780476,0
413,0.350675314665,0
414,0.422342389822,0
415,0.441497176886,0
416,0.405168533325,0
417,0.363812655210,0
418,0.418598443270,0
419,0.400961279869,0
420,0.355525970459,0
421,0.375296622515,0
422,0.496284365654,0
423,0.404720604420,0
424,0.468881398439,0
425,0.464954823256,0
426,0.434049338102,0
427,0.428935170174,0
428,0.405023127794,0
429,0.459337115288,0
430,0.426360398531,0
431,0.398239284754,0
432,0.401729941368,0
433,0.403339713812,0
434,0.392427563667,0
435,0.386439949274,0
436,0.478428035975,0
437,0.469171762466,0
438,0.363922953606,0
439,0.433407902718,0
440,0.387557834387,0
441,0.403973102570,0
442,0.420542418957,0
443,0.464275270700,0
444,0.370641350746,0
445,0.408958077431,0
446,0.426867216825,0
447,0.376004725695,0
448,0.396157771349,0
449,0.456713825464,0
450,0.355258911848,0
451,0.413992166519,0
452,0.501828074455,0
453,0.391399502754,0
454,0.397943139076,0
455,0.418088465929,0
456,0.427973389626,0
457,0.419408649206,0
458,0.426716297865,0
459,0.410321772099,0
460,0.455168396235,0
461,0.369451999664,0
462,0.408256113529,0
463,0.381551802158,0
464,0.414501070976,0
465,0.456788271666,0
466,0.372417986393,0
467,0.387262284756,0
468,0.396212726831,0
469,0.394134819508,0
470,0.429872483015,0
471,0.363606572151,0
472,0.418552488089,0
473,0.330993652344,0
474,0.418558001518,0
475,0.385811477900,0
476,0.404383599758,0
477,0.416002392769,0
478,0.447007209063,0
479,0.433413654566,0
480,0.405021339655,0
481,0.446411907673,0
482,0.392025172710,0
483,0.435949027538,0
484,0.382353007793,0
485,0.422942221165,0
486,0.362434089184,0
487,0.410534799099,0
488,0.354763835669,0
489,0.416470944881,0
490,0.389893978834,0
491,0.408268541098,0
492,0.466008156538,0
493,0.438495218754,0
494,0.392206907272,0
495,0.374865174294,0
496,0.425488114357,0
497,0.391196966171,0
498,0.438526868820,0
499,0.413402259350,0
500,0.392112463713,0
501,0.396743863821,0
502,0.453459709883,0
503,0.384422004223,0
504,0.402441561222,0
505,0.430912971497,0
506,0.401906371117,0
507,0.427127212286,0
508,0.389971822500,0
509,0.401999592781,0
510,0.419038921595,0
511,0.355026125908,0
512,0.419629275799,0
513,0.376987308264,0
514,0.366102010012,0
515,0.393645256758,0
516,0.381870687008,0
517,0.409186810255,0
518,0.406614810228,0
519,0.404129296541,0
520,0.466439396143,0
521,0.377691984177,0
522,0.417314440012,0
523,0.400942623615,0
524,0.437245279551,0
525,0.386989086866,0
526,0.480973839760,0
527,0.402979254723,0
528,0.389117538929,0
529,0.324252188206,0
530,0.433094471693,0
531,0.413510680199,0
532,0.455157190561,0
533,0.441484898329,0
534,0.393132120371,0
535,0.430095404387,0
536,0.369319856167,0
537,0.430202156305,0
538,0.425762236118,0
539,0.413440585136,0
540,0.391748219728,0
541,0.401579260826,0
542,0.379458427429,0
543,0.460807204247,0
544,0.380804061890,0
545,0.481917858124,0
546,0.383146524429,0
547,0.374901950359,0
548,0.393014043570,0
549,0.402437210083,0
550,0.395373135805,0
551,0.402349889278,0
552,0.367430120707,0
553,0.429702520370,0
554,0.367432981730,0
555,0.382996022701,0
556,0.403197318316,0
557,0.423030942678,0
558,0.439140260220,0
559,0.399619847536,0
560,0.356141149998,0
561,0.382269740105,0
562,0.414083719254,0
563,0.368431746960,0
564,0.396145284176,0
565,0.352388501167,0
566,0.441921025515,0
567,0.466383159161,0
568,0.404251903296,0
569,0.445542156696,0
570,0.432208746672,0
571,0.397701680660,0
572,0.405358105898,0
573,0.397368907928,0
574,0.431663304567,0
575,0.404467910528,0
576,0.413603842258,0
577,0.373123228550,0
578,0.414071142673,0
579,0.325987517834,0
580,0.403923898935,0
581,0.417248159647,0
582,0.402815520763,0
583,0.399043232203,0
584,0.382273167372,0
585,0.406494587660,0
586,0.424274593592,0
587,0.398113846779,0
588,0.358483254910,0
589,0.453500479460,0
590,0.411668688059,0
591,0.427724003792,0
592,0.353754073381,0
593,0.374380588531,0
594,0.407407343388,0
595,0.421002209187,0
596,0.406992167234,0
597,0.429561376572,0
598,0.418038427830,0
599,0.435898631811,0
600,0.357765167952,0
601,0.389418274164,0
602,0.383015513420,0
603,0.362870186567,0
604,0.406595140696,0
605,0.395429104567,0
606,0.406134665012,0
607,0.459266990423,0
608,0.385618120432,0
609,0.405853182077,0
610,0.387398481369,0
611,0.415008693933,0
612,0.388414114714,0
613,0.416356027126,0
614,0.390255779028,0
615,0.438454747200,0
616,0.475160777569,0
617,0.452178895473,0
618,0.437047034502,0
619,0.409709274769,0
620,0.413047373295,0
621,0.364867627621,0
622,0.349594801664,0
623,0.462819337845,0
624,0.379880428314,0
625,0.388634979725,0
626,0.404822379351,0
627,0.369863867760,0
628,0.395773202181,0
629,0.431315600872,0
630,0.399414062500,0
631,0.388072937727,0
632,0.413171678782,0
633,0.430372625589,0
634,0.410194754601,0
635,0.391796827316,0
636,0.422147095203,0
637,0.409176945686,0
638,0.420162707567,0
639,0.433172941208,0
640,0.393825113773,0
641,0.385886847973,0
642,0.410989165306,0
643,0.489064693451,0
644,0.442234873772,0
645,0.450101941824,0
646,0.395914286375,0
647,0.330282062292,0
648,0.463603019714,0
649,0.438148349524,0
650,0.449938416481,0
651,0.427261203527,0
652,0.463795661926,0
653,0.346643120050,0
654,0.348283827305,0
655,0.407942444086,0
656,0.454246610403,0
657,0.370089501143,0
658,0.380212128162,0
659,0.409439504147,0
660,0.443869501352,0
661,0.458206325769,0
662,0.393137782812,0
663,0.388376921415,0
664,0.423512041569,0
665,0.426373511553,0
666,0.348293751478,0
667,0.489925116301,0
668,0.386859118938,0
669,0.423479378223,0
670,0.407061755657,0
671,0.431883722544,0
672,0.406968683004,0
673,0.416355162859,0
674,0.398531317711,0
675,0.346678853035,0
676,0.390063375235,0
677,0.448947906494,0
678,0.418686211109,0
679,0.404845952988,0
680,0.445241957903,0
681,0.380882829428,0
682,0.450719475746,0
683,0.421723008156,0
684,0.413197755814,0
685,0.405363500118,0
686,0.426767945290,0
687,0.415445506573,0
688,0.422340065241,0
689,0.429843276739,0
690,0.383013546467,0
691,0.385269284248,0
692,0.490282893181,0
693,0.448755532503,0
694,0.443854391575,0
695,0.411579936743,0
696,0.431443035603,0
697,0.402590781450,0
698,0.418615877628,0
699,0.384626895189,0
700,0.390212029219,0
701,0.446870595217,0
702,0.446049511433,0
703,0.405817627907,0
704,0.454429805279,0
705,0.406017661095,0
706,0.377442955971,0
707,0.447344541550,0
708,0.424796402454,0
709,0.355188101530,0
710,0.355261445045,0
711,0.415656089783,0
712,0.413705438375,0
713,0.427779197693,0
714,0.332893788815,0
715,0.370697826147,0
716,0.434387236834,0
717,0.403003156185,0
718,0.424894630909,0
719,0.363549709320,0
720,0.346093297005,0
721,0.394163191319,0
722,0.400886535645,0
723,0.427217602730,0
724,0.394486755133,0
725,0.440014332533,0
726,0.430662006140,0
727,0.412812858820,0
728,0.410642236471,0
729,0.436990708113,0
730,0.402428299189,0
731,0.381952226162,0
732,0.382360488176,0
733,0.373487025499,0
734,0.490585327148,0
735,0.439409613609,0
736,0.400238484144,0
737,0.478435128927,0
738,0.435215204954,0
739,0.390583872795,0
740,0.432880371809,0
741,0.426984608173,0
742,0.361394077539,0
743,0.445160746574,0
744,0.382942825556,0
745,0.394941627979,0
746,0.395785242319,0
747,0.456605404615,0
748,0.471754938364,0
749,0.462139040232,0
750,0.409027576447,0
751,0.414499759674,0
752,0.426861256361,0
753,0.425082504749,0
754,0.472665518522,0
755,0.388249397278,0
756,0.451995939016,0
757,0.442632079124,0
758,0.368200540543,0
759,0.466076016426,0
760,0.388334482908,0
761,0.391958832741,0
762,0.436799794436,0
763,0.412688165903,0
764,0.489048957825,0
765,0.403884410858,0
766,0.365065515041,0
767,0.361454665661,0
768,0.377981662750,0
769,0.457086384296,0
770,0.464190781116,0
771,0.421198666096,0
772,0.460766494274,0
773,0.425623446703,0
774,0.470561534166,0
775,0.397336244583,0
776,0.428430169821,0
777,0.404371112585,0
778,0.409536808729,0
779,0.422194898129,0
780,0.388112813234,0
781,0.452243119478,0
782,0.389386743307,0
783,0.384659230709,0
784,0.372511863708,0
785,0.356043070555,0
786,0.417082369328,0
787,0.390055298805,0
788,0.463702589273,0
789,0.362288743258,0
790,0.360834747553,0
791,0.426240056753,0
792,0.406450480223,0
793,0.438593178988,0
794,0.395026147366,0
795,0.461447298527,0
796,0.461252480745,0
797,0.455995172262,0
798,0.438275814056,0
799,0.421032816172,0
800,0.421058297157,0
801,0.372517466545,0
802,0.373969763517,0
803,0.396471977234,0
804,0.381264775991,0
805,0.396979182959,0
806,0.381079792976,0
807,0.398836582899,0
808,0.351652443409,0
809,0.445088148117,0
810,0.467685222626,0
811,0.393653631210,0
812,0.391727417707,0
813,0.448296487331,0
814,0.407090038061,0
815,0.393584817648,0
816,0.424604237080,0
817,0.427141338587,0
818,0.335983008146,0
819,0.425697177649,0
820,0.480882376432,0
821,0.453752875328,0
822,0.399858415127,0
823,0.461407154799,0
824,0.413194805384,0
825,0.406920820475,0
826,0.429376989603,0
827,0.420238643885,0
828,0.387447416782,0
829,0.398726612329,0
830,0.394114673138,0
831,0.412859171629,0
832,0.385808706284,0
833,0.392628759146,0
834,0.426403164864,0
835,0.484019488096,0
836,0.434089452028,0
837,0.402168720961,0
838,0.452172636986,0
839,0.439604848623,0
840,0.412677228451,0
841,0.436930209398,0
842,0.380316108465,0
843,0.460032552481,0
844,0.381678849459,0
845,0.412141293287,0
846,0.389859318733,0
847,0.420883119106,0
848,0.404612243176,0
849,0.354737222195,0
850,0.415018558502,0
851,0.395762056112,0
852,0.398275852203,0
853,0.413956671953,0
854,0.413733839989,0
855,0.452194064856,0
856,0.400131732225,0
857,0.340569883585,0
858,0.408806979656,0
859,0.392419785261,0
860,0.395015895367,0
861,0.385650753975,0
862,0.417964994907,0
863,0.363795548677,0
864,0.411128133535,0
865,0.437331080437,0
866,0.449455350637,0
867,0.409984618425,0
868,0.428673237562,0
869,0.376332432032,0
870,0.438496857882,0
871,0.403025954962,0
872,0.390371978283,0
873,0.432473301888,0
874,0.470568478107,0
875,0.369969218969,0
876,0.448356926441,0
877,0.487964183092,0
878,0.417615443468,0
879,0.382436990738,0
880,0.374482005835,0
881,0.403726875782,0
882,0.385224342346,0
883,0.377180129290,0
884,0.413773745298,0
885,0.445926934481,0
886,0.367684751749,0
887,0.404612541199,0
888,0.356240183115,0
889,0.387493252754,0
890,0.447001844645,0
891,0.447652876377,0
892,0.390644192696,0
893,0.383856475353,0
894,0.428228914738,0
895,0.472590565681,0
896,0.390502005816,0
897,0.433936923742,0
898,0.425781965256,0
899,0.449742585421,0
900,0.475961327553,0
901,0.386463791132,0
902,0.370311826468,0
903,0.398851245642,0
904,0.416815042496,0
905,0.413803637028,0
906,0.439900100231,0
907,0.475365996361,0
908,0.423864275217,0
909,0.363319426775,0
910,0.402167201042,0
911,0.488330930471,0
912,0.423693805933,0
