# widthsADWIN, reconstructionErrorTime, driftDecisions
1,0.447647601366,0
2,0.399554431438,0
3,0.401030898094,0
4,0.433981359005,0
5,0.366729289293,0
6,0.433635085821,0
7,0.426337033510,0
8,0.367390006781,0
9,0.420131117105,0
10,0.377452731133,0
11,0.372559130192,0
12,0.407334983349,0
13,0.348908543587,0
14,0.399640023708,0
15,0.395556390285,0
16,0.454463630915,0
17,0.370547652245,0
18,0.450559824705,0
19,0.416740924120,0
20,0.395254820585,0
21,0.407691866159,0
22,0.440843194723,0
23,0.384641438723,0
24,0.403085410595,0
25,0.400279968977,0
26,0.391195803881,0
27,0.421885311604,0
28,0.452496200800,0
29,0.413774907589,0
30,0.413126975298,0
31,0.424790769815,0
32,0.422861784697,0
33,0.421091526747,0
34,0.408069819212,0
35,0.407032996416,0
36,0.470605552197,0
37,0.410012602806,0
38,0.349377125502,0
39,0.430524915457,0
40,0.416767120361,0
41,0.382246524096,0
42,0.469780236483,0
43,0.449604988098,0
44,0.371821731329,0
45,0.384746193886,0
46,0.443813621998,0
47,0.411009728909,0
48,0.416052609682,0
49,0.408369481564,0
50,0.390079587698,0
51,0.410614907742,0
52,0.445510238409,0
53,0.400185704231,0
54,0.360977381468,0
55,0.452052593231,0
56,0.418568730354,0
57,0.379225999117,0
58,0.408232808113,0
59,0.470753401518,0
60,0.432345569134,0
61,0.379853636026,0
62,0.379996508360,0
63,0.450084626675,0
64,0.421955496073,0
65,0.372301578522,0
66,0.436378806829,0
67,0.413896828890,0
68,0.389104604721,0
69,0.382735282183,0
70,0.413649708033,0
71,0.347682088614,0
72,0.374745786190,0
73,0.412608623505,0
74,0.412719070911,0
75,0.373394906521,0
76,0.369882375002,0
77,0.409262567759,0
78,0.418410450220,0
79,0.377716898918,0
80,0.413031041622,0
81,0.440738111734,0
82,0.382050275803,0
83,0.401600271463,0
84,0.369122356176,0
85,0.405724555254,0
86,0.425164461136,0
87,0.355184704065,0
88,0.457138627768,0
89,0.370698988438,0
90,0.394184470177,0
91,0.442284733057,0
92,0.470001757145,0
93,0.456874787807,0
94,0.414789199829,0
95,0.386199414730,0
96,0.470543950796,0
97,0.367967277765,0
98,0.450207620859,0
99,0.342893421650,0
100,0.435586482286,0
101,0.413997530937,0
102,0.406515270472,0
103,0.416061401367,0
104,0.447913825512,0
105,0.364792943001,0
106,0.387083560228,0
107,0.392199724913,0
108,0.398313939571,0
109,0.422001421452,0
110,0.349574357271,0
111,0.391654849052,0
112,0.400179147720,0
113,0.369145661592,0
114,0.376779854298,0
115,0.360389828682,0
116,0.415733844042,0
117,0.435707360506,0
118,0.417371094227,0
119,0.375121980906,0
120,0.425195276737,0
121,0.353994548321,0
122,0.379930078983,0
123,0.428158640862,0
124,0.457365691662,0
125,0.462277352810,0
126,0.436733216047,0
127,0.463411509991,0
128,0.403590977192,0
129,0.365414947271,0
130,0.408693313599,0
131,0.399537265301,0
132,0.442641317844,0
133,0.446208715439,0
134,0.446978688240,0
135,0.430855661631,0
136,0.368773043156,0
137,0.354579389095,0
138,0.419582188129,0
139,0.423133522272,0
140,0.423916161060,0
141,0.441093951464,0
142,0.396494179964,0
143,0.377576887608,0
144,0.421591043472,0
145,0.411772549152,0
146,0.426115632057,0
147,0.387397199869,0
148,0.415849536657,0
149,0.435218840837,0
150,0.415604263544,0
151,0.407207787037,0
152,0.398019492626,0
153,0.440114527941,0
154,0.482408106327,0
155,0.404923319817,0
156,0.431799530983,0
157,0.401174753904,0
158,0.395134091377,0
159,0.420820504427,0
160,0.415767669678,0
161,0.376516371965,0
162,0.414811730385,0
163,0.398197829723,0
164,0.418552517891,0
165,0.405291706324,0
166,0.357017338276,0
167,0.385728091002,0
168,0.450075984001,0
169,0.420213967562,0
170,0.396107643843,0
171,0.374631196260,0
172,0.405547112226,0
173,0.387671887875,0
174,0.375852555037,0
175,0.329747408628,0
176,0.455942839384,0
177,0.393526732922,0
178,0.441591620445,0
179,0.378695547581,0
180,0.389979153872,0
181,0.360062241554,0
182,0.411296486855,0
183,0.482682317495,0
184,0.407613068819,0
185,0.438128262758,0
186,0.450440794230,0
187,0.403689831495,0
188,0.399325311184,0
189,0.352541506290,0
190,0.392900973558,0
191,0.395837575197,0
192,0.448706060648,0
193,0.364856123924,0
194,0.434480577707,0
195,0.451599597931,0
196,0.436971217394,0
197,0.400851905346,0
198,0.370677322149,0
199,0.379888653755,0
200,0.429694741964,0
201,0.395013540983,0
202,0.431772798300,0
203,0.390653103590,0
204,0.334942817688,0
205,0.362996608019,0
206,0.410047829151,0
207,0.419242858887,0
208,0.452975273132,0
209,0.404138892889,0
210,0.431678652763,0
211,0.385610371828,0
212,0.362826347351,0
213,0.422057569027,0
214,0.408106714487,0
215,0.432510733604,0
216,0.439102023840,0
217,0.447941452265,0
218,0.357517153025,0
219,0.387956112623,0
220,0.418208628893,0
221,0.349325537682,0
222,0.404864877462,0
223,0.431532204151,0
224,0.401403963566,0
225,0.432152539492,0
226,0.413094222546,0
227,0.396504640579,0
228,0.370404303074,0
229,0.379004150629,0
230,0.420903384686,0
231,0.440720617771,0
232,0.412851452827,0
233,0.428196132183,0
234,0.390866905451,0
235,0.417261838913,0
236,0.457020193338,0
237,0.397616952658,0
238,0.430257797241,0
239,0.379763841629,0
240,0.471118330956,0
241,0.370998978615,0
242,0.419406235218,0
243,0.412965774536,0
244,0.422914445400,0
245,0.406642824411,0
246,0.411627322435,0
247,0.414798766375,0
248,0.432744622231,0
249,0.425187826157,0
250,0.396918803453,0
251,0.396072328091,0
252,0.464764654636,0
253,0.420424133539,0
254,0.369782000780,0
255,0.407007157803,0
256,0.395843774080,0
257,0.429283082485,0
258,0.395371943712,0
259,0.405985951424,0
260,0.374724805355,0
261,0.386659741402,0
262,0.366788655519,0
263,0.446335166693,0
264,0.365265309811,0
265,0.397996127605,0
266,0.421995759010,0
267,0.437728404999,0
268,0.424000084400,0
269,0.413942962885,0
270,0.413863688707,0
271,0.428329676390,0
272,0.407934784889,0
273,0.451582908630,0
274,0.430838406086,0
275,0.446497619152,0
276,0.417964309454,0
277,0.391738414764,0
278,0.371090203524,0
279,0.406792104244,0
280,0.406359821558,0
281,0.409259021282,0
282,0.383996814489,0
283,0.445095956326,0
284,0.404928684235,0
285,0.423281699419,0
286,0.436382204294,0
287,0.394915729761,0
288,0.448461085558,0
289,0.421158939600,0
290,0.477178424597,0
291,0.431173920631,0
292,0.448980271816,0
293,0.430179089308,0
294,0.417469859123,0
295,0.397740662098,0
296,0.388992488384,0
297,0.365227252245,0
298,0.438829958439,0
299,0.383906364441,0
300,0.370885044336,0
301,0.374860405922,0
302,0.433991551399,0
303,0.472642958164,0
304,0.395318776369,0
305,0.342031002045,0
306,0.394855737686,0
307,0.389313608408,0
308,0.547029256821,0
309,0.362694621086,0
310,0.416623800993,0
311,0.423297643661,0
312,0.370313674212,0
313,0.451562255621,0
314,0.429631501436,0
315,0.493077397346,0
316,0.421439290047,0
317,0.414137393236,0
318,0.410249978304,0
319,0.419481873512,0
320,0.440016210079,0
321,0.431252241135,0
322,0.440493047237,0
323,0.472563832998,0
324,0.431780189276,0
325,0.440198332071,0
326,0.444650858641,0
327,0.387848198414,0
328,0.401962369680,0
329,0.420441836119,0
330,0.420575767756,0
331,0.397488862276,0
332,0.357961773872,0
333,0.440195709467,0
334,0.391111373901,0
335,0.382612705231,0
336,0.441887050867,0
337,0.402578502893,0
338,0.402409642935,0
339,0.435526490211,0
340,0.390396952629,0
341,0.408626943827,0
342,0.396206736565,0
343,0.386390179396,0
344,0.445398569107,0
