,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
SAW (NAE-IAW),98.0,83.45237373737373,0.5215431898345809,0.7972464304870884,0.8503426842641038,0.8851401946485087,0.51,0.78,0.8320000000000001,0.866,0.5154964529235868,0.7882076342643015,0.8407309295062702,0.8751095843290726
SAW (RAE-IAW),92.4,117.88193378972446,0.3571241875763421,0.7367430894687904,0.8209929346929702,0.9033613513423068,0.3299999999999999,0.6799999999999999,0.758,0.834,0.3429403575092894,0.7070495455108864,0.7880353215096271,0.8670698536271315
ADWIN-10,574.0,239.625,0.0418118466898954,0.0662020905923344,0.0801393728222996,0.1080139372822299,0.24,0.3799999999999999,0.4600000000000001,0.62,0.0712166172106825,0.1127596439169139,0.1364985163204748,0.1839762611275964
ADWIN-10i,74.0,160.8108108108108,0.1081081081081081,0.5675675675675675,0.7837837837837839,0.8648648648648649,0.0799999999999999,0.42,0.58,0.6399999999999999,0.0919540229885057,0.4827586206896551,0.6666666666666667,0.7356321839080459
IBDD,3620.0,21.76,0.0248618784530386,0.0270718232044198,0.0270718232044198,0.0276243093922651,0.9000000000000001,0.9800000000000002,0.9800000000000002,1.0,0.0483870967741935,0.0526881720430107,0.0526881720430107,0.053763440860215
D3,486.0,52.88082653061224,0.1720191324625645,0.185086912502773,0.1879777097542802,0.1953382782523614,0.834,0.898,0.912,0.9479999999999998,0.2851425179358514,0.3068417523881249,0.311632630109805,0.3238519941325541
PCA-CD,108.0,524.725,0.0555555555555555,0.0925925925925925,0.1481481481481481,0.2407407407407407,0.06,0.1,0.16,0.26,0.0576923076923076,0.0961538461538461,0.1538461538461538,0.25
