,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
SAW (NAE-IAW),73.0,224.99134062634064,0.1641867055024949,0.4300535121587753,0.6627498927498927,0.8609970873128768,0.12,0.314,0.484,0.6279999999999999,0.1386215187394488,0.3628773441285824,0.5592970794791636,0.7260736998743509
SAW (RAE-IAW),64.8,303.84613647145073,0.0616894155022712,0.2438225950204128,0.4350817233051578,0.6927622405267093,0.0399999999999999,0.1579999999999999,0.282,0.4479999999999999,0.0485210424871508,0.1917039431438491,0.3421200351800802,0.5439951832105814
ADWIN-10,508.0,348.264705882353,0.0275590551181102,0.0354330708661417,0.0393700787401574,0.0669291338582677,0.14,0.1799999999999999,0.1999999999999999,0.3399999999999999,0.0460526315789473,0.0592105263157894,0.0657894736842105,0.1118421052631579
ADWIN-10i,68.0,256.2941176470589,0.0,0.2058823529411764,0.4411764705882353,0.7647058823529411,0.0,0.14,0.2999999999999999,0.5199999999999999,0.0,0.1666666666666666,0.3571428571428571,0.619047619047619
IBDD,1560.0,87.57142857142857,0.0448717948717948,0.0538461538461538,0.0551282051282051,0.0589743589743589,0.7000000000000001,0.8400000000000001,0.8600000000000001,0.9200000000000002,0.0843373493975903,0.1012048192771084,0.1036144578313253,0.1108433734939759
D3,1364.8,55.09400000000001,0.0411876980434744,0.0713632743195548,0.0732718232507197,0.0732718232507197,0.562,0.974,1.0,1.0,0.0767504526679867,0.1329829922335135,0.1365390520479339,0.1365390520479339
PCA-CD,124.0,629.452380952381,0.0161290322580645,0.032258064516129,0.064516129032258,0.1774193548387097,0.02,0.04,0.08,0.22,0.0178571428571428,0.0357142857142857,0.0714285714285714,0.1964285714285714
