,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
SAW (NAE-IAW),52.316,216.2090864150307,0.1245437255034778,0.4205950222668488,0.6146230905828429,0.7933171428837062,0.0652173913043478,0.2202898550724637,0.3217391304347826,0.4144927536231885,0.0855822324170315,0.2890591987980849,0.4222518121133028,0.5443376541892839
SAW (RAE-IAW),55.505,259.26663384031804,0.0886749097275413,0.26636940584309,0.488406827880512,0.7286482839114419,0.0492753623188405,0.1478260869565217,0.2710144927536232,0.4043478260869565,0.0633446971923431,0.1901212798056388,0.3485707008366151,0.5200510067464749
ADWIN-10,76.80999999999999,346.3214285714285,0.0754716981132075,0.1320754716981132,0.2264150943396226,0.3018867924528302,0.0579710144927536,0.1014492753623188,0.1739130434782608,0.2318840579710145,0.0655737704918032,0.1147540983606557,0.1967213114754098,0.2622950819672131
ADWIN-10i,31.880000000000003,464.9545454545454,0.1363636363636363,0.1363636363636363,0.2272727272727272,0.4545454545454545,0.0434782608695652,0.0434782608695652,0.072463768115942,0.144927536231884,0.0659340659340659,0.0659340659340659,0.1098901098901099,0.2197802197802198
IBDD,1342.0300000000002,87.2089552238806,0.0464362850971922,0.0572354211663066,0.0615550755939524,0.0669546436285097,0.6231884057971014,0.7681159420289855,0.826086956521739,0.8985507246376814,0.0864321608040201,0.1065326633165829,0.114572864321608,0.1246231155778894
D3,723.479,58.39588661551577,0.0831554027666285,0.1306066789997045,0.1344194216150552,0.1358279375392312,0.6014492753623187,0.9449275362318842,0.9724637681159422,0.982608695652174,0.1461087053953059,0.22949109801887,0.2361890955877598,0.238662682125523
