,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
SAW (New AE),118.0,169.10416666666666,0.23728813559322035,0.4406779661016949,0.576271186440678,0.6779661016949152,0.28,0.52,0.68,0.8,0.25688073394495414,0.47706422018348627,0.6238532110091743,0.7339449541284404
SAW (Retrain AE),94.0,169.97826086956522,0.23404255319148937,0.6808510638297872,0.723404255319149,0.7872340425531915,0.22,0.64,0.68,0.74,0.2268041237113402,0.6597938144329897,0.7010309278350516,0.7628865979381443
ADWIN-10,182.0,446.04,0.03296703296703297,0.03296703296703297,0.04395604395604396,0.13186813186813187,0.06,0.06,0.08,0.24,0.04255319148936171,0.04255319148936171,0.056737588652482275,0.17021276595744683
IBDD,1936.0,46.4,0.04338842975206612,0.04442148760330578,0.047520661157024795,0.0506198347107438,0.84,0.86,0.92,0.98,0.0825147347740668,0.08447937131630648,0.09037328094302555,0.09626719056974459
D3,954.0,149.17777777777778,0.03773584905660377,0.07756813417190776,0.08385744234800839,0.0859538784067086,0.36,0.74,0.8,0.82,0.0683111954459203,0.14041745730550284,0.15180265654648956,0.1555977229601518
PCA-CD,4.0,1696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
