,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
SAW (NAE-IAW),78.8,235.8682051282051,0.1625,0.4568589743589745,0.6169230769230769,0.7362179487179488,0.128,0.3599999999999999,0.486,0.5800000000000001,0.1431960049937578,0.4026716604244694,0.5436704119850188,0.6488139825218477
SAW (RAE-IAW),79.6,228.4210256410256,0.1734615384615384,0.4473076923076923,0.6207692307692307,0.7060897435897437,0.138,0.3559999999999999,0.4939999999999999,0.562,0.1537078651685393,0.3964544319600499,0.5501622971285893,0.6258426966292134
ADWIN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADWIN-10i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBDD,1998.0,76.20000000000002,0.035035035035035,0.042042042042042,0.044044044044044,0.047047047047047,0.7000000000000001,0.8400000000000001,0.8800000000000001,0.9399999999999996,0.0667302192564347,0.0800762631077216,0.0838894184938036,0.0896091515729265
D3,1063.6,87.93219858156027,0.0475696124988166,0.0789741442258122,0.0818014133955879,0.0834981953586784,0.506,0.8400000000000001,0.8699999999999999,0.8880000000000001,0.086963046703091,0.1443735905997315,0.1495410880510246,0.1526422997398103
PCA-CD,118.0,549.875,0.0,0.0338983050847457,0.0847457627118644,0.1525423728813559,0.0,0.04,0.1,0.18,0.0,0.036697247706422,0.091743119266055,0.1651376146788991
