,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
SAW (NAE-IAW),58.8,295.85524707731605,0.0983617905392098,0.2856496497827142,0.4262361324458099,0.6643421363582652,0.0579999999999999,0.1679999999999999,0.25,0.3899999999999999,0.0729111783476353,0.2113898478104725,0.3148850054049027,0.4910669229421904
SAW (RAE-IAW),73.6,296.8042063492064,0.0788406827880512,0.2146633475580844,0.3668721352931879,0.6114983404457087,0.058,0.1579999999999999,0.2699999999999999,0.45,0.0668288741464363,0.1820138028237466,0.3110483341838595,0.5184309008286554
ADWIN-10,12.0,577.2,0.0,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0199999999999999,0.0399999999999999,0.0399999999999999,0.0,0.0357142857142857,0.0714285714285714,0.0714285714285714
ADWIN-10i,16.0,359.125,0.125,0.125,0.375,0.375,0.0199999999999999,0.0199999999999999,0.06,0.06,0.0344827586206896,0.0344827586206896,0.1034482758620689,0.1034482758620689
IBDD,294.0,455.4418604651163,0.0476190476190476,0.0544217687074829,0.0748299319727891,0.1224489795918367,0.14,0.1599999999999999,0.22,0.3599999999999999,0.0710659898477157,0.0812182741116751,0.1116751269035533,0.1827411167512689
D3,1092.8,53.858,0.0545362566780887,0.0882135556147039,0.0915092925566674,0.0915092925566674,0.596,0.964,1.0,1.0,0.0999285581804421,0.1616359687385568,0.1676746095313532,0.1676746095313532
PCA-CD,90.0,542.1282051282051,0.0444444444444444,0.1333333333333333,0.1777777777777777,0.3555555555555555,0.04,0.12,0.16,0.32,0.0421052631578947,0.1263157894736842,0.1684210526315789,0.3368421052631579
