,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
SAW (New AE),86.0,223.72093023255815,0.11627906976744186,0.4186046511627907,0.5813953488372093,0.7906976744186046,0.1,0.36,0.5,0.68,0.1075268817204301,0.38709677419354843,0.5376344086021505,0.7311827956989247
SAW (Retrain AE),90.0,239.4090909090909,0.1111111111111111,0.4,0.5333333333333333,0.7555555555555555,0.1,0.36,0.48,0.68,0.10526315789473685,0.3789473684210526,0.505263157894737,0.7157894736842104
ADWIN-10,206.0,454.44117647058823,0.02912621359223301,0.04854368932038835,0.0970873786407767,0.1553398058252427,0.06,0.1,0.2,0.32,0.0392156862745098,0.06535947712418301,0.13071895424836602,0.2091503267973856
IBDD,1570.0,57.22,0.045859872611464965,0.05732484076433121,0.061146496815286625,0.061146496815286625,0.72,0.9,0.96,0.96,0.08622754491017964,0.10778443113772455,0.11497005988023953,0.11497005988023953
D3,894.0,49.4,0.06487695749440715,0.09843400447427293,0.09843400447427293,0.10067114093959731,0.58,0.88,0.88,0.9,0.11670020120724345,0.17706237424547283,0.17706237424547283,0.1810865191146881
PCA-CD,2.0,1533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
