,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
SAW (NAE-IAW),90.0,217.44823232323236,0.1156389986824769,0.4644356609574001,0.6179622310057092,0.7670399648660517,0.1039999999999999,0.418,0.556,0.69,0.1095030795072788,0.4399631392310564,0.5853023516237403,0.7264301045166105
SAW (RAE-IAW),88.2,216.1472997416021,0.0725851538642236,0.4196429410382898,0.653148931172187,0.841503406154569,0.064,0.3699999999999999,0.576,0.7420000000000001,0.0680198437067273,0.3932459150621922,0.6121304290238293,0.7885961299955448
ADWIN-10,318.0,492.7837837837839,0.0125786163522012,0.0251572327044025,0.0440251572327044,0.0880503144654088,0.0399999999999999,0.0799999999999999,0.14,0.2800000000000001,0.0191387559808612,0.0382775119617224,0.0669856459330143,0.1339712918660287
ADWIN-10i,64.0,457.84375,0.0,0.0,0.0625,0.34375,0.0,0.0,0.0399999999999999,0.22,0.0,0.0,0.048780487804878,0.2682926829268293
IBDD,2280.0,74.70000000000002,0.0324561403508771,0.0385964912280701,0.0412280701754386,0.0412280701754386,0.7400000000000001,0.8800000000000001,0.9399999999999996,0.9399999999999996,0.0621848739495798,0.0739495798319327,0.0789915966386554,0.0789915966386554
D3,962.4,63.66120458821827,0.065457176022804,0.0924913509477656,0.0966405570117693,0.0983068786130479,0.63,0.8899999999999999,0.93,0.946,0.1185918602889794,0.16756757168787,0.1750860470083123,0.1781043351820827
PCA-CD,116.0,510.6363636363636,0.0172413793103448,0.0689655172413793,0.1724137931034483,0.3103448275862069,0.02,0.08,0.2,0.36,0.0185185185185185,0.074074074074074,0.1851851851851852,0.3333333333333333
