,% Changes detected,Mean time until detection (instances),Precision_60,Precision_120,Precision_180,Precision_300,Recall_60,Recall_120,Recall_180,Recall_300,F1Score_60,F1Score_120,F1Score_180,F1Score_300
SAW (NAE-IAW),124.6,63.703103741496605,0.6886988491853643,0.7400411724711037,0.749616185271923,0.7641903167048593,0.858,0.922,0.934,0.952,0.7640336230380478,0.821006374435578,0.8316574490247056,0.8477627765680861
SAW (RAE-IAW),98.2,61.0718085106383,0.8335955536060577,0.9251287053282852,0.9375011543078772,0.9517166481977408,0.818,0.908,0.9200000000000002,0.9339999999999998,0.8255864722126475,0.9163295081008702,0.928512563141068,0.9426163984945914
ADWIN-10,626.0,102.02127659574468,0.0447284345047923,0.1150159744408945,0.1309904153354632,0.1437699680511182,0.2800000000000001,0.7199999999999999,0.8200000000000001,0.9000000000000001,0.0771349862258953,0.1983471074380165,0.2258953168044077,0.2479338842975206
ADWIN-10i,88.0,84.59090909090911,0.5,0.8636363636363635,0.909090909090909,0.9772727272727272,0.44,0.7599999999999999,0.7999999999999999,0.8600000000000001,0.4680851063829788,0.8085106382978724,0.8510638297872342,0.9148936170212766
IBDD,4724.0,13.720000000000002,0.0207451312447078,0.02116850127011,0.02116850127011,0.02116850127011,0.9800000000000002,1.0,1.0,1.0,0.0406301824212271,0.0414593698175787,0.0414593698175787,0.0414593698175787
D3,94.0,9.33404255319149,1.0,1.0,1.0,1.0,0.9399999999999998,0.9399999999999998,0.9399999999999998,0.9399999999999998,0.9690721649484536,0.9690721649484536,0.9690721649484536,0.9690721649484536
PCA-CD,104.0,604.1463414634146,0.0576923076923076,0.0769230769230769,0.1346153846153846,0.2307692307692307,0.06,0.08,0.14,0.24,0.0588235294117647,0.0784313725490196,0.1372549019607843,0.2352941176470588
